OBJECTID,GEOID_Data,B01001e1,GEOID
3,05000US01001,55036,1001
4,05000US01003,203360,1003
5,05000US01005,26201,1005
6,05000US01007,22580,1007
7,05000US01009,57667,1009
8,05000US01011,10478,1011
9,05000US01013,20126,1013
10,05000US01015,115527,1015
11,05000US01017,33895,1017
12,05000US01019,25855,1019
13,05000US01021,43805,1021
14,05000US01023,13188,1023
15,05000US01025,24625,1025
16,05000US01027,13407,1027
17,05000US01029,14939,1029
18,05000US01031,51073,1031
19,05000US01033,54435,1033
20,05000US01035,12649,1035
21,05000US01037,10955,1037
22,05000US01039,37519,1039
23,05000US01041,13866,1041
24,05000US01043,81703,1043
25,05000US01045,49393,1045
26,05000US01047,40755,1047
27,05000US01049,71194,1049
28,05000US01051,80989,1051
29,05000US01053,37621,1053
30,05000US01055,103132,1055
31,05000US01057,16657,1057
32,05000US01059,31507,1059
33,05000US01061,26572,1061
34,05000US01063,8533,1063
35,05000US01065,14995,1065
36,05000US01067,17110,1067
37,05000US01069,104108,1069
38,05000US01071,52326,1071
39,05000US01073,659460,1073
40,05000US01075,14021,1075
41,05000US01077,92590,1077
42,05000US01079,33288,1079
43,05000US01081,156597,1081
44,05000US01083,91695,1083
45,05000US01085,10362,1085
46,05000US01087,19358,1087
47,05000US01089,353213,1089
48,05000US01091,19743,1091
49,05000US01093,30058,1093
50,05000US01095,94738,1095
51,05000US01097,414328,1097
52,05000US01099,21745,1099
53,05000US01101,227120,1101
54,05000US01103,119157,1103
55,05000US01105,9680,1105
56,05000US01107,20170,1107
57,05000US01109,33287,1109
58,05000US01111,22530,1111
59,05000US01113,58480,1113
60,05000US01115,86937,1115
61,05000US01117,208721,1117
62,05000US01119,13084,1119
63,05000US01121,80888,1121
64,05000US01123,40756,1123
65,05000US01125,204424,1125
66,05000US01127,64927,1127
67,05000US01129,16746,1129
68,05000US01131,10919,1131
69,05000US01133,23968,1133
70,05000US02013,3338,2013
71,05000US02016,5784,2016
72,05000US02020,298225,2020
73,05000US02050,17957,2050
74,05000US02060,917,2060
75,05000US02068,2303,2068
76,05000US02070,4974,2070
77,05000US02090,100031,2090
78,05000US02100,2537,2100
79,05000US02105,2146,2105
80,05000US02110,32434,2110
81,05000US02122,57961,2122
82,05000US02130,13745,2130
83,05000US02150,13773,2150
84,05000US02158,8129,2158
85,05000US02164,1301,2164
86,05000US02170,101135,2170
87,05000US02180,9869,2180
88,05000US02185,9757,2185
89,05000US02188,7715,2188
90,05000US02195,3275,2195
91,05000US02198,6473,2198
92,05000US02220,8810,2220
93,05000US02230,1038,2230
94,05000US02240,6889,2240
95,05000US02261,9439,2261
96,05000US02275,2475,2275
97,05000US02282,682,2282
98,05000US02290,5453,2290
99,05000US04001,71602,4001
100,05000US04003,126516,4003
101,05000US04005,138639,4005
102,05000US04007,53145,4007
103,05000US04009,37700,4009
104,05000US04011,9368,4011
105,05000US04012,20477,4012
106,05000US04013,4155501,4013
